iter	Passed	Remaining
0	1	152
1	2	139
2	4	131
3	5	120
4	6	118
5	7	116
6	8	115
7	9	113
8	11	112
9	12	110
10	13	109
11	14	108
12	16	107
13	17	106
14	18	105
15	19	104
16	21	103
17	22	101
18	23	100
19	24	99
20	25	97
21	27	96
22	28	94
23	29	93
24	30	92
25	31	91
26	33	89
27	34	88
28	35	87
29	36	86
30	38	84
31	39	83
32	40	82
33	41	81
34	43	80
35	44	78
36	45	77
37	46	76
38	48	75
39	49	73
40	50	72
41	50	70
42	52	69
43	53	67
44	54	66
45	55	65
46	56	64
47	58	63
48	59	61
49	60	60
50	61	59
51	62	58
52	64	57
53	65	56
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	47
61	75	46
62	76	44
63	77	43
64	78	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	34
72	88	32
73	89	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	120	1
99	121	0
